trialType,correctAns,audiotrialType,audiocorrectAns
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,nonTarget,None
nonTarget,None,Target,right
nonTarget,None,Target,right
nonTarget,None,Target,right
nonTarget,None,Target,right
Target,left,Target,right
Target,left,Target,right
Target,left,nonTarget,None
Target,left,nonTarget,None
Target,left,nonTarget,None
Target,left,nonTarget,None
